date,TY_volume_chg,US_volume_chg,C_volume_chg,S_volume_chg,W_volume_chg,CD_volume_chg,EC_volume_chg,JY_volume_chg,MP_volume_chg,NQ_volume_chg,ES_volume_chg,GC_volume_chg,CL_volume_chg,TY_opening_down,TY_opening_unch,TY_opening_up,US_opening_down,US_opening_unch,US_opening_up,C_opening_down,C_opening_unch,C_opening_up,S_opening_down,S_opening_unch,S_opening_up,W_opening_down,W_opening_unch,W_opening_up,CD_opening_down,CD_opening_unch,CD_opening_up,EC_opening_down,EC_opening_unch,EC_opening_up,JY_opening_down,JY_opening_unch,JY_opening_up,MP_opening_down,MP_opening_unch,MP_opening_up,NQ_opening_down,NQ_opening_unch,NQ_opening_up,ES_opening_down,ES_opening_unch,ES_opening_up,GC_opening_down,GC_opening_unch,GC_opening_up,CL_opening_down,CL_opening_unch,CL_opening_up
2018-03-28,9.280263372934062,3.5282949814721625,0.7400047802715279,3.415927842119526,-9.468492894540002,-9.045737457359449,-2.740855899742885,10.537965985966958,-0.5044330801585533,15.45443318761916,11.90297876882299,40.14559736738532,-1.825626619061695,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
2018-03-29,-12.871433402447815,-9.600350563221044,29.82773218705224,13.727868057239872,10.982882813105094,-9.376024322462653,-4.184741236056443,-7.572644064432753,-5.780969151741325,-0.8317524621042136,-4.227097067515341,16.215296433861504,-3.951042340238014,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
2018-04-02,-9.155363385897381,-6.344741715955442,-7.636008564082811,-6.8031563233098735,1.1526740642519875,-11.744894321898848,-8.008926380946987,-13.449567890213721,-2.1327006568860076,-2.2852780321081165,-3.7841877091352054,10.569006776327496,-5.197493074112772,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
2018-04-03,2.3699957518257064,3.6226247683032247,3.560254109887981,12.657513348588864,9.848789743000058,6.5436186799317,-0.25817953170725405,0.013519823266636128,-8.843028088182905,1.2084827346898894,-0.43453344045217235,6.89565678649401,-1.9832424507224196,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2018-04-04,-4.16648881708157,-2.5524827016427833,30.580899417283675,46.12320067165898,6.947555741651845,1.3529974160927014,-7.29854193704969,1.1473573015293492,4.261932071047872,-2.5178294744013803,-1.6671435800313945,3.676564025201877,3.0496990577104572,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2018-04-05,-15.7614511894352,-9.327386387783344,14.319710131622749,17.7405483951084,6.095412413010071,-2.956164933596987,-3.306020749576229,-10.120075227853594,-8.525243271005978,-12.697025975160567,-10.059804208416883,-6.32471340318566,-3.4669274428840433,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-04-06,7.137999939620072,2.747861336204676,-20.538085982837565,-13.670730651470672,-3.7797120702618736,1.7077400925002224,2.65885740837411,7.9562316814441525,5.646268826586741,-0.43288086898978323,5.409466066041543,10.073191929809411,7.962197054230072,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2018-04-09,-0.34321502597301834,2.0941436103075888,-8.992562649023357,-10.108841726369448,25.017857570890957,6.799855108807716,9.701605963410403,2.003703251420656,4.401144814757632,-5.822677698382854,-5.679210157706594,-1.8667824814241345,-9.960423570745535,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
2018-04-10,-4.897658304878121,-2.3638824126997546,-10.18424856118166,-15.505717351660234,-9.989991602148919,-0.7602519215015144,1.561941281521285,0.8206226152177818,-1.3689724795256062,-4.67870380602324,-2.1193724367098135,0.08228770651438255,-6.546954999277199,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2018-04-11,-2.658197984088851,0.22193551578942936,-35.71752842198804,-51.5809033596297,-9.951901980581862,-0.1682527998317472,1.9130712155605523,-1.6820112336589987,-7.442397357968125,-7.049536030833529,-5.952911441077402,8.959686481969063,-13.333286793143312,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
2018-04-12,1.6725230757597576,4.370106981156806,-43.55456717404697,-71.30284308961632,-9.831621477132419,3.5063464475693897,0.23366072737973625,0.234246633055743,-1.3066674704605712,-5.270779415301566,-3.6019034853063387,6.8822961423993565,-13.634662059755595,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2018-04-13,-8.130021759605087,-7.87696541693886,-6.2068414747770495,-2.4396565129498735,-13.670325518920382,-3.0265484474182967,-7.322533796423124,-9.225374016796078,-10.531419409024961,-6.832709823832765,-9.60642167548635,-6.92573157746226,-24.751370041881756,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-04-16,-0.09779874174926831,1.1599913682523357,-9.927511963080494,-2.838926768794832,-42.36145720641326,-4.890085240017949,-1.1560638521052058,-1.3770792399362308,-8.72739530795294,-6.745164195899266,-6.477414536843243,2.272053856091396,7.187831471331522,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
2018-04-17,-2.941841513204882,-1.4092548815602641,-3.599742875508886,-5.827348620174252,-7.477197237306905,-6.215381220346456,-3.924343039677563,-9.941765745237264,-2.3384649908134936,-10.251770541921305,-9.536403227670545,-0.6722130392617343,8.36522889643685,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
2018-04-18,-2.4721591343068003,-1.8566659963804566,11.93140959428893,1.4168198974160422,-8.117933989788467,11.12745155711377,0.735034057247419,-8.236915366515714,-1.6730573147789123,-7.431999187845885,-8.077925762077863,-10.343146315388058,15.58435650526179,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2018-04-19,5.262840144557649,7.0044510300639224,-3.5814200692688267,-19.266370212035042,-4.660076158817191,-1.841617701551011,1.52092265468122,-5.1109086880523815,17.79712176978052,0.992995898458143,4.386989010100406,-3.5163816083262827,28.66323464030533,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
2018-04-20,2.840234437911354,1.4054485448820497,0.8541054608232124,4.3662238192047615,6.801623646960881,4.640540147008861,9.917903568058218,-0.8949045920739902,20.183914696644077,-2.652617648895713,-1.0935485823221403,1.1100928437415398,16.1405346655725,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
