date,negative_proportion_min,negative_proportion_max,negative_proportion_mean,positive_proportion_min,positive_proportion_max,positive_proportion_mean,neutral_proportion_min,neutral_proportion_max,neutral_proportion_mean,combined_score_min,combined_score_max,combined_score_mean
2011-06-06,0.0,0.0,0.0,0.13,0.13,0.13,0.87,0.87,0.87,0.2732,0.2732,0.2732
2011-06-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-06-10,0.0,0.0,0.0,0.219,0.219,0.219,0.781,0.781,0.781,0.4754,0.4754,0.4754
2011-06-15,0.0,0.0,0.0,0.0,0.124,0.062,0.876,1.0,0.938,0.0,0.34,0.17
2011-06-17,0.0,0.0,0.0,0.343,0.343,0.343,0.657,0.657,0.657,0.8364,0.8364,0.8364
2011-06-20,0.227,0.227,0.227,0.277,0.277,0.277,0.496,0.496,0.496,0.4019,0.4019,0.4019
2011-06-21,0.046,0.046,0.046,0.405,0.405,0.405,0.549,0.549,0.549,0.9246,0.9246,0.9246
2011-06-22,0.067,0.067,0.067,0.0,0.0,0.0,0.933,0.933,0.933,-0.0772,-0.0772,-0.0772
2011-06-24,0.06,0.06,0.06,0.116,0.116,0.116,0.824,0.824,0.824,0.3612,0.3612,0.3612
2011-06-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-06-27,0.0,0.0,0.0,0.095,0.095,0.095,0.905,0.905,0.905,0.3182,0.3182,0.3182
2011-06-28,0.0,0.0,0.0,0.171,0.171,0.171,0.829,0.829,0.829,0.4767,0.4767,0.4767
2011-07-02,0.0,0.0,0.0,0.173,0.702,0.4375,0.298,0.827,0.5625,0.3182,0.9477,0.63295
2011-07-06,0.0,0.311,0.10366666666666667,0.0,0.368,0.12266666666666666,0.632,1.0,0.7736666666666667,-0.8176,0.8519,0.011433333333333332
2011-07-08,0.059,0.128,0.08966666666666667,0.0,0.297,0.13,0.644,0.872,0.7799999999999999,-0.3612,0.8591,0.19169999999999998
2011-07-09,0.225,0.448,0.32375000000000004,0.0,0.0,0.0,0.552,0.775,0.67625,-0.8074,-0.6369,-0.747825
2011-07-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2011-07-13,0.089,0.166,0.1275,0.0,0.139,0.0695,0.772,0.834,0.8029999999999999,-0.2924,0.3182,0.012899999999999995
