date,W_up_gamma_5,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2017-11-17,16042.22461411372,4883.281232506562,7284.061430585731,2299.1133039530687
2017-11-20,12787.413806791876,7358.487527550572,4182.45147702242,3265.3574195901665
2017-11-21,14794.841509103964,4931.805982552261,6364.8776248474605,2526.3640728325595
2017-11-23,14706.247661856467,6235.508449913059,6780.008592039828,3013.023389214197
2017-11-27,12052.912437140787,2871.4813459749826,3322.297050901154,721.6877564402398
2017-11-30,12469.598373279967,3992.682289912711,3118.8556734229733,989.169832888334
2017-12-12,13486.052843363663,3882.8047514714763,4100.452591817106,1165.676823002752
2017-12-13,11723.168125271288,3584.1231856879435,4488.442648953902,679.0058394467642
2017-12-27,18180.154550499297,8961.338629548845,4830.64950699608,2487.9625696629937
2018-01-03,18901.52797460872,15046.42188546437,4179.041293395614,6091.446277878731
2018-01-12,22204.496121423123,16443.222301856244,5760.363384534903,7140.775178630332
2018-01-18,26168.013451532915,11477.343590417238,10823.332196824058,4626.103338656745
2018-01-19,27503.66929188265,9853.578990210402,10473.02727271224,4481.172669095953
2018-01-23,22322.422445888995,10299.651329382325,7389.267009134448,5117.0305383088735
2018-02-01,19211.303685722192,15952.019145952992,4047.9474600337144,6579.145501394078
2018-02-06,21511.41079091473,12963.910006800072,6934.256375381619,6533.291165623901
2018-02-13,12740.887916092795,19701.299731149124,3365.7695808757344,8636.89868444098
2018-02-15,15054.259431221726,15539.024847851064,4731.695673944752,7279.704473198919
2018-02-27,17245.814708550435,13637.632406699777,2738.031658129772,4425.496624614389
2018-02-28,16495.268051,14627.405153356985,3003.417666030771,5099.8703741279605
2018-03-01,15791.673023400188,19239.33650243531,2186.1966323229353,6921.486219410801
2018-03-02,12427.76258606663,17748.453401444633,1479.9828419515707,7301.857056505683
2018-03-05,16554.03577521764,20053.94173745598,2708.793857608711,7138.329150260355
2018-03-09,18374.304240961515,18984.60865725926,4363.396447498597,7915.439346196657
2018-03-13,20293.411480256287,16714.402732457915,5115.9162948074445,6508.9970436046715
2018-03-14,22743.847444396888,15012.007802496822,6013.4920832803255,5635.306731775221
2018-03-19,24924.912887861286,12987.32978151948,7805.050307899663,4919.8802889307935
2018-03-21,21106.35454453422,8058.45053952833,7982.737409348703,2772.091675198667
2018-03-22,19476.961488208057,8444.88783260994,6900.76026211588,2743.3220479582287
2018-03-27,18156.425119074476,9506.694311222902,5160.432531330698,3068.804883441866
2018-03-28,17904.02450104876,7931.229392422949,5864.712212591592,2914.0104374864613
2018-03-29,19765.968980553258,8179.138855674352,6643.126331463902,3007.5808525357097
2018-04-02,18290.00234682414,8785.49648237043,6557.877271495401,3312.2242990726245
2018-04-04,21362.51846024369,12238.821874921781,6131.595264812118,3910.9756812756896
2018-04-09,20030.903896378255,18368.735677543697,5348.0503913116245,6093.7064479457895
2018-04-12,19556.08211791438,17154.166852534003,5478.377179166528,8054.058889299535
2018-04-16,22678.47579737728,20927.351264934478,7958.446801724283,9478.680874633532
2018-04-17,22179.666897772604,13398.873934143325,8620.376511236802,4357.061426059992
2018-04-18,18579.814454141968,13217.010266751087,5936.97038738501,5364.593964893437
2018-04-23,16391.94517067749,8282.474762867352,3025.9220020217526,1805.388675196814
2018-04-25,19030.294303494637,12435.11444934322,3478.1336429720905,3543.6666395894554
2018-04-27,17777.053529345532,13067.302235085433,3328.7816274156794,3954.991969713079
2018-05-03,15493.315278077775,20368.49008883813,2094.1839942244587,7307.471617741923
2018-05-07,16942.952800235427,21944.12412493481,2546.723415216835,8291.240272205816
2018-05-09,18809.304493368163,22211.67191303433,3890.9716270617155,9133.227221054602
2018-05-10,19790.329835070697,19846.49951331549,4632.756111799996,7828.102277698021
2018-05-11,21212.03621918934,20373.002026176895,5305.06072591321,7978.98987696529
2018-05-16,19478.960102918943,18952.266014388282,6185.857583996643,7011.76056225014
2018-05-18,20494.191939095923,19354.897863987284,6156.389610834367,8644.634289743288
2018-05-21,18098.860285123785,24485.708972292057,4518.11966564306,10945.907317631509
2018-05-22,23001.53360158883,23023.837415482067,6491.415651086063,10265.378842719909
2018-05-23,20744.49257137258,23643.640877157362,5370.496811548486,9838.904008022457
2018-05-24,18511.670252560387,22010.897553280094,4179.6666806555895,9406.785611443414
2018-05-25,19674.56068407918,20808.79948497021,4956.328319947148,7392.569214918789
2018-05-30,18066.518473439854,20798.012881040417,2715.514015880679,7402.953883883281
2018-05-31,16980.675853066376,19656.009489359454,3976.4973118602975,7003.209468380537
2018-06-01,17485.77228689588,19547.991084853224,3847.0096862883383,7651.157946751329
2018-06-04,16712.13963062763,22046.354740376988,4284.934718111566,8195.55964318201
2018-06-05,19342.24795029798,16710.519328237675,5805.676744697668,5812.594530857863
2018-06-06,19570.121569480772,17561.167444932278,5769.304701381438,6560.472156628903
2018-06-07,18050.999264262777,21310.17302433132,4989.2047477524975,7908.354535167702
2018-06-08,18949.623811392354,21576.585267124636,4216.662447460954,8040.49889697839
2018-06-11,17396.961118816846,21468.728634255112,4168.900815361139,7530.408700857066
2018-06-12,20675.885195377006,21209.919152672453,5184.172609014071,6824.682069556222
2018-06-13,17272.332889684352,22274.57284339356,4010.727926872749,9642.556696419204
2018-06-14,20547.982863428664,21910.585083519312,6427.694598282802,8888.920352522262
2018-06-15,21993.27295223774,18462.76851677919,7632.991010560489,7402.4669096014
2018-06-19,22128.62431329143,15028.723752641661,8680.698897493645,6168.246685075277
2018-06-20,21616.571568784562,10688.153065379602,8460.739011446092,3641.736207862743
2018-06-21,16089.733314069856,14565.347812515845,6188.037648788089,6194.1967919549625
2018-06-25,13896.969005956978,9387.186152739376,2276.029624099212,2107.3821202971085
2018-06-26,13417.311400049695,6881.604569053495,2694.724298322846,1540.863207747414
2018-07-03,17094.300477983877,5076.0611310116765,4213.717612626424,1173.0636032186621
2018-07-09,18808.306552957736,16386.02364550024,2859.64120914225,4893.454900137043
2018-07-16,25737.806079568883,14213.268176935955,4746.805228163754,3782.1949366901445
2018-07-25,25403.580033814724,13086.759396149408,7282.031331771421,4357.719305069822
2018-07-30,19044.936957881815,16176.545374957643,3101.37372137252,4932.960910744287
2018-08-02,17208.49204156434,17966.00006350312,2281.188284857726,6306.812938316587
2018-08-07,15624.67877329809,18958.087525263614,2107.8538151358716,7001.17377895682
2018-08-09,17110.554270886132,16497.624026480888,3439.771957218878,6448.49557358484
2018-08-10,18323.444608601454,17725.016732381842,4170.0913820869555,6563.746181407538
2018-08-13,20382.351168048703,16708.17888058247,6170.379553830027,6403.183676563724
2018-08-15,20285.414550391706,16388.63888616741,6352.773378444153,7730.365873467001
2018-08-16,24902.220182474768,13084.776688568323,8521.73867136219,5758.143650089649
2018-08-20,22940.19790051433,20523.619206034098,6138.68756607865,9609.55767249667
2018-08-23,23938.309459061642,13378.492097529384,7634.086468354049,5821.725143563889
2018-09-10,24627.93201713174,3835.8591256805908,6244.006041105018,1100.7789305131378
2018-09-12,25670.07324517874,6651.9941990627285,6039.571167536178,1622.2808526979425
2018-09-13,24345.12144706391,5488.590815137374,6874.3372749964,1438.3523307548721
2018-09-14,20823.568377420703,4368.20412721683,6119.956447947236,918.3084641952419
2018-09-19,27309.931725397724,7848.708438747791,7890.828914347931,2208.9111604738155
2018-09-23,0,0,0,0
2018-09-27,24754.527576708355,10956.180475142979,6119.102683210072,3281.0974155960103
2018-10-01,27530.154581001225,9381.147357971175,7882.263175073182,2941.486590326176
2018-10-15,28073.70621952479,12982.372783474375,9936.63326027265,4499.60724483609
