date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2017-10-02,34905.36644542424,37294.21563476285,14676.998151666656,21040.97328427874
2017-10-03,36553.693473847314,35200.209920637964,17582.081234940833,19658.968775740457
2017-10-06,33072.832605338066,38610.93985911201,16036.552259467651,21783.816531004304
2017-10-10,32475.50084557652,39033.82804068015,15458.240598790708,20996.87463933648
2017-10-13,28732.99165852791,44582.098226160204,14332.452953319367,30245.33918120272
2017-10-16,32998.66751182835,52188.04866612293,17030.262918909597,38229.71861294155
2017-10-17,32623.339786931505,48212.35482488778,16929.95613797026,34442.1589580334
2017-10-20,28392.316598669928,47699.18734044894,15320.46531036113,34068.51974561555
2017-10-24,29670.662251269987,36813.957749194655,15997.648528351847,26573.02647759694
2017-10-25,29386.178647726858,32616.040232411917,14818.27931831233,20968.515489888276
2017-10-26,29485.24353444125,32728.601835987225,14864.84341180713,21045.639741120256
2017-10-31,23795.179388057328,14860.619404658855,9962.194955488822,7777.984650573958
2017-11-07,23947.2624614846,18198.81673827663,8624.140905641414,10102.786735218257
2017-11-09,25311.23421480074,21120.502870029188,8658.288188866609,10802.119372739742
2017-11-10,28895.25784150263,17395.442408091738,14265.770537278604,8174.775320079316
2017-11-13,26422.16225106546,16663.195699263837,13205.077120886292,8019.525219474028
2017-11-16,28262.783734130375,14727.39241451116,13222.272479179353,7085.475202471086
2017-11-17,35342.61002057396,11455.147297069021,16980.41439591148,6555.103990631297
2017-11-20,24747.196986754967,17857.804568156695,9574.856666241989,9020.80973315953
2017-11-21,24248.745114469395,15968.05884878536,9693.252265556835,7723.868551554704
2017-11-23,22426.39143236716,15843.712708518957,9099.587200983025,7528.544062241581
2017-11-27,24091.187345712708,14646.335771298158,9325.795784825737,7904.436868089366
2017-11-30,24041.46071788206,14930.994563863524,9768.723799813191,8129.088977652432
2017-12-12,32103.07885388651,14491.489834484688,13931.513026298857,8578.12658223288
2017-12-13,32664.227869687893,13683.571358091998,16266.015642821669,7710.275751952953
2017-12-27,30254.67940311592,13151.282940268577,12369.924555528432,6582.360187163341
2018-01-03,28508.780108137737,14062.332693271792,12848.638328200246,6838.843442419594
