date,C_up_gamma_5,C_down_gamma_5,C_up_diff_5,C_down_diff_5
2017-07-25,85778.98821940456,60640.18831253581,20106.957481570804,16970.655324967884
2017-07-26,91538.6366879297,46505.68000817524,23819.475580579223,14160.734955333755
2017-07-28,92405.09998111824,52326.15488242015,22215.15804759755,17917.36061874502
2017-07-31,94424.73004602893,52486.64190856319,23471.390251560748,19121.09481589454
2017-08-01,97165.59370927117,55095.12306460876,25921.542059517044,18694.267412584144
2017-08-03,96082.11365690481,45350.79350331936,27547.8722729827,15399.477176911274
2017-08-04,94769.29458997092,41758.59064739209,30027.753388336547,14185.611695200903
2017-08-07,89645.54760673559,50140.88975178229,28540.78984046456,16224.398976975637
2017-08-08,84965.43080670391,54832.87257233575,25068.239758818534,19537.258027095995
2017-08-09,95058.57988060711,55752.258413452364,27153.69000470014,17673.378174246114
2017-08-10,88277.54711505218,55798.319197370685,26963.35860924548,19050.253350598752
2017-08-11,82532.39058513164,39067.330541281124,35067.54326257115,12664.24826364336
2017-08-18,79887.24535055402,35342.73732065712,35502.040051652606,10562.139477217479
2017-08-21,68843.09879338472,34236.62383716367,26178.237420055055,10570.011508702308
2017-08-22,67774.03648609227,33587.96757163121,26462.85024804435,8286.132133543535
2017-08-23,72124.63962665717,34348.9245915275,29712.406228447922,9012.045754399249
2017-08-24,57623.389090953184,22756.400584937564,21010.094937854956,6375.525085612449
2017-08-25,60010.963393947335,23151.63293649184,22180.740503626497,6917.170559876869
2017-08-28,48852.44936936677,24205.820910001094,14963.53775657984,6317.3884208302625
2017-08-30,49414.44481288867,18835.06863745591,15139.60316388635,5221.193255377211
2017-08-31,48295.48844343939,17131.80502033053,15847.522907407103,4334.44899412395
2017-09-05,46515.223447032804,26343.11595190345,11611.601021267714,7069.889836757095
2017-09-07,55827.692755670134,39829.93907621622,16359.57608559505,11418.824926566336
2017-09-11,64773.68678412548,29749.322463845605,18193.455305863732,9087.436852435043
2017-09-13,60019.8111387682,31872.917326161267,22650.22021655696,8893.61314489337
2017-09-14,60501.030028293906,31598.547711677813,22247.205255165623,7807.75571424422
2017-09-15,63113.114989813665,32350.33065526745,21002.017961662263,9202.833631045083
2017-09-20,77541.8051936681,30029.833564814468,29114.488904919446,9666.20193638268
2017-09-21,68088.44344241086,38653.01958264807,23077.458157218374,10859.264781973445
2017-09-25,63729.68553239098,45253.83377707322,21734.135994119664,14733.781546428123
2017-09-28,67886.64733056021,47715.879356506775,22945.94825230659,15526.179280500535
2017-10-02,69652.98271163258,48285.00324372965,23849.642753709406,17086.778400157553
2017-10-06,66322.92213776805,45969.54819772964,26753.029846277946,14440.476983433553
2017-10-09,66604.2990620936,44101.236656840476,25554.44929469662,12757.919156587854
2017-10-10,66870.972878017,44215.76408128082,25709.7022899901,12714.140652480812
2017-10-12,69138.92933614548,44579.113680958224,30949.78539926814,13501.28003129068
2017-10-13,66912.5415270561,47920.51471623702,31501.730620252085,14908.76451297658
2017-10-16,62305.907788492696,47053.802471929164,29424.549513146274,20269.349569730854
2017-10-17,68977.14180961587,46622.10378648895,32512.630585551116,18863.300386552968
2017-10-20,62834.86441361205,46664.02697246933,30796.465151863456,16997.01855784275
2017-10-24,68416.77769698105,49367.178298404666,31870.81499975078,20387.845760966855
2017-10-25,65535.52681879029,44188.29340559641,31111.491513065463,17941.769730194286
2017-10-31,60776.08806898954,30592.55104215679,29807.025000924787,14974.135803340969
2017-11-07,65004.956768276,31487.974730257425,30823.370857170114,15612.044224380134
2017-11-09,58803.45961690825,29150.856678011933,27772.697237797005,13927.441457345065
2017-11-10,73474.87901359676,22420.912766687597,38657.35033942411,11044.218949252798
2017-11-13,67315.78204893736,19588.957442300034,38002.238234305725,10482.275340215569
2017-11-14,57587.79101725827,16747.39339220636,29383.217202976695,6711.4299105100945
2017-11-16,62662.79173542496,19035.240331542926,29502.94209785728,8123.260172366079
2017-11-17,66296.18969930317,18109.23816982704,31986.587083337094,7558.613068021188
2017-11-20,68813.21681547842,22783.297862865224,36788.25877861194,11610.378539325688
2017-11-21,69309.04566049813,24159.00358947904,36061.73052748464,13241.790435925152
2017-11-23,58946.1185820751,16030.505979687325,28466.127004557187,5864.352374506385
2017-11-27,42080.38246831352,15952.913429100185,13105.707343338672,5132.430452067798
2017-11-30,52931.96246518591,18349.688803603538,16088.117708224032,5503.094295852887
2017-12-12,56408.73393160887,19113.238359662264,22245.825902061173,6329.902180557332
2017-12-13,52382.97737678674,12765.47676031742,22466.72237379531,5792.358578779306
2017-12-14,52854.09465155979,18599.349234915673,21461.45996813863,6128.453329832235
2017-12-27,41030.30369980657,24759.751175647205,13562.106535747567,9160.02660857919
2018-01-03,46069.95642448465,23681.643391430218,17501.299462345036,10023.638029092497
2018-01-12,58586.671884274205,13680.598928663687,23203.830548751008,6720.088183057616
2018-01-18,45344.049519393266,20819.50974120988,22569.568196337867,10306.154803361014
2018-01-19,46154.65924333618,19297.524824681077,22343.630936491263,8561.17435577982
2018-01-23,48277.28349444786,16416.040111347615,21568.104975517395,6832.0790747406045
2018-01-29,44217.339604602465,33265.2962439405,17390.575687124925,16231.241831883835
2018-02-01,40348.739237743874,40939.00697786401,14432.684921381671,18634.799272581502
2018-02-06,45526.54389880393,28220.118112387696,17395.702522243097,15640.984147490097
2018-02-13,38047.00354709277,36797.03363039014,14864.195798522647,17369.046565122997
2018-02-14,37753.27121506295,36784.70322401584,14751.279064169867,18131.893014435016
2018-02-15,37697.944016739864,36782.0095377594,14787.417382115822,18168.561655241057
2018-02-27,31412.601725357796,26337.01250398612,8535.844877939802,10757.463653386052
2018-02-28,31860.595751150642,27214.918099698796,7382.481716627506,11838.27403579891
2018-03-01,31700.707554797908,30708.37181693371,6869.934009865181,14392.595878975375
2018-03-02,26599.6981624343,38345.107630076855,5692.979111258763,18952.557006699928
2018-03-05,30066.38383917948,37509.187231103104,6290.819630652073,17254.22400608563
2018-03-09,24470.116074231268,45081.40402557672,5255.722533165746,23836.43955896684
2018-03-13,26720.8637012807,35023.76842728165,6127.917050886419,15850.604755881213
2018-03-14,28805.204629941214,35042.906864977595,6950.120605945827,17484.68757911009
2018-03-19,38095.95083056458,33543.876979999826,13297.789792203363,15623.194151519729
2018-03-21,51840.73131352601,25787.121101429537,15778.390116330724,9199.839093185408
2018-03-22,50078.92341921065,24004.05520983919,15461.025090733921,7837.94109223281
2018-03-23,47126.61031256093,27914.013476480068,14147.908484347157,9187.803659041434
2018-03-27,57289.48533809163,32501.79461874684,14425.917128426103,9786.854612682782
2018-03-28,57940.29383626228,32781.48353846255,14607.327505814756,10113.8497083652
2018-03-29,60616.911863087764,33708.39563570521,15390.668407649893,9856.376611847667
2018-04-02,43936.265838362684,51464.22692050456,9057.651649467545,21081.091133054928
2018-04-04,50088.11838999648,50057.57674847748,9357.840825965424,21143.849236096456
2018-04-09,51047.73730614318,54925.336262293305,10061.402172391157,22075.014582895594
2018-04-12,46303.626692417776,47221.68544377078,11826.7540578579,18913.93610581333
2018-04-16,56408.12004776087,49920.36288371966,12917.479159546616,16823.50522263575
2018-04-17,65962.92157230731,48728.904230817985,19619.442335530017,18392.751088864625
2018-04-18,80763.8753151996,41375.15130518145,22209.958269293966,15931.684023055925
