C Corn Futures
DEC16     339'0     341'0     338'0     339'6     340'0     -'4       91916      340'4      127944      760102
4450       ----      ----      ----      ----      11'5     -'3                   12'0
4500       ----      ----      10'7A     ----      10'7     -'2                   11'1                      20
4550       ----      ----      10'1A     ----      10'1     -'2                   10'3                      25
4600       ----      ----       9'4A     ----       9'4     -'2                    9'6
4650       ----      ----       8'7A     ----       9'0     -'3                    9'3
4700       ----      ----      ----      ----       8'4     -'3                    8'7                     133
4750       ----      ----      ----      ----       8'0     -'3                    8'3
4800       ----      ----      ----      ----       7'5     -'3                    8'0
4850       ----      ----      ----      ----       7'2     -'3                    7'5
4900       ----      ----      ----      ----       6'7     -'3                    7'2
4950       ----      ----      ----      ----       6'5     -'2                    6'7
5000       ----      ----      ----      ----       6'3     -'2                    6'5
5050       ----      ----      ----      ----       6'1     -'2                    6'3
5100       ----      ----      ----      ----       5'7     -'2                    6'1
5150       ----      ----      ----      ----       5'5     -'2                    5'7
5200       ----      ----      ----      ----       5'4     -'1                    5'5
5250       ----      ----      ----      ----       5'3     -'1                    5'4

CDF JAN17 Short-Dated New Crop Corn Option PUT
2700       ----      ----      ----      ----        '1    UNCH                     '1
2750       ----      ----      ----      ----        '1    UNCH                     '1
2800       ----      ----      ----      ----        '1    UNCH                     '1
2850       ----      ----      ----      ----        '1    UNCH                     '1
2900       ----      ----      ----      ----        '1    UNCH                     '1
2950       ----      ----      ----      ----        '1    UNCH                     '1
3000       ----      ----      ----      ----        '1    UNCH                     '1
3050       ----      ----      ----      ----        '1    UNCH                     '1
3100       ----      ----      ----      ----        '1    UNCH                     '1
3150       ----      ----      ----      ----        '2    UNCH                     '2
3200       ----      ----      ----      ----        '3    UNCH                     '3
3250       ----      ----      ----      ----        '4    UNCH                     '4
3300       ----      ----      ----      ----        '6     +'1                     '5
3350       ----      ----      ----      ----       1'0    UNCH                    1'0
3400       ----      ----      ----      ----       1'4     +'1                    1'3                      25
3450       ----      ----      ----      ----       2'0     +'1                    1'7
3500       ----      ----      ----      ----       2'6     +'1                    2'5                      29
3550       ----      ----      ----      ----       3'6     +'1                    3'5
3600       ----      ----      ----      ----       5'0     +'1                    4'7
3650       ----      ----      ----      ----       6'4     +'2                    6'2
3700       ----      ----      ----      ----       8'2     +'2                    8'0
3750       13'0      13'0      11'0A     ----      10'3     +'2          41       10'1
3800       14'0      14'0      13'6A     ----      12'6     +'2          10       12'4                      10
3850       ----      ----      ----      ----      15'4     +'3                   15'1
3900       ----      ----      ----      ----      18'4     +'3                   18'1
3950       ----      ----      ----      ----      21'7     +'4                   21'3
4000       ----      ----      ----      ----      25'5     +'5                   25'0                      51
4050       ----      ----      ----      ----      29'5     +'5                   29'0
4100       ----      ----      ----      ----      33'6     +'5                   33'1
4150       ----      ----      ----      ----      38'0     +'4                   37'4
4200       ----      ----      ----      ----      42'4     +'4                   42'0
4250       ----      ----      ----      ----      47'1     +'4                   46'5
4300       ----      ----      ----      ----      51'7     +'5                   51'2
4350       ----      ----      ----      ----      56'5     +'5                   56'0
4400       ----      ----      ----      ----      61'3     +'5                   60'6
4450       ----      ----      ----      ----      66'2     +'5                   65'5
4500       ----      ----      ----      ----      71'1     +'5                   70'4
4550       ----      ----      ----      ----      76'0     +'5                   75'3
4600       ----      ----      ----      ----      80'7     +'5                   80'2
4650       ----      ----      ----      ----      85'7     +'6                   85'1
4700       ----      ----      ----      ----      90'6     +'5                   90'1
4750       ----      ----      ----      ----      95'6     +'6                   95'0
4800       ----      ----      ----      ----     100'6     +'6                  100'0
