W Wheat Futures
SEP17     504'4     508'2     495'0     507'0     505'6    +2'6       65783      503'0       71108      199071
DEC17     528'2     531'4     518'6     530'4     529'2    +2'4       29922      526'6       29023      131313
MAR18     548'0     550'4     538'4     550'4     549'4    +3'0       10242      546'4        9638       51382
MAY18     558'0     560'6B    549'2     560'6B    560'0    +3'0        1834      557'0        2150       16397
JLY18     562'2     565'2B    554'2     565'2B    564'2    +2'4        3340      561'6        3508       26934
SEP18     569'0     573'6B    563'6A    573'6B    572'6    +2'4          93      570'2         186        2190
DEC18     583'2     586'6B    577'0     586'6B    585'4    +2'2         345      583'2         720        8581
MAR19      ----     590'2B     ----     590'2B    593'0    +3'0          19      590'0          15         861
MAY19      ----      ----      ----      ----     590'4    +3'0                  587'4           8          34
JLY19     578'4     580'2B    578'4     580'2B    584'6    +6'0          12      578'6          17         284
SEP19      ----      ----      ----      ----     584'6    +6'0                  578'6
6950       ----      ----      ----      ----     133'4    -2'4                  136'0
7000       ----      ----      ----      ----     138'2    -2'4                  140'6
7050       ----      ----      ----      ----     143'0    -2'3                  145'3
7100       ----      ----      ----      ----     147'5    -2'4                  150'1
7150       ----      ----      ----      ----     152'4    -2'3                  154'7
7200       ----      ----      ----      ----     157'3    -2'3                  159'6
7250       ----      ----      ----      ----     162'2    -2'3                  164'5
7300       ----      ----      ----      ----     167'1    -2'3                  169'4
7350       ----      ----      ----      ----     172'0    -2'3                  174'3
7400       ----      ----      ----      ----     176'7    -2'3                  179'2
7450       ----      ----      ----      ----     181'6    -2'4                  184'2
7500       ----      ----      ----      ----     186'6    -2'3                  189'1
7550       ----      ----      ----      ----     191'5    -2'3                  194'0
WDF MAR18 Short-Dated New Crop Wheat Option PUT
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1    UNCH                     '1
4050       ----      ----      ----      ----        '1    UNCH                     '1
4100       ----      ----      ----      ----        '1    UNCH                     '1
4150       ----      ----      ----      ----        '1    UNCH                     '1
4200       ----      ----      ----      ----        '2    UNCH                     '2
4250       ----      ----      ----      ----        '2    UNCH                     '2
4300       ----      ----      ----      ----        '3    UNCH           1         '3
4350       ----      ----      ----      ----        '4    UNCH                     '4
4400       ----      ----      ----      ----        '5    UNCH                     '5
4450       ----      ----      ----      ----        '7    UNCH                     '7
4500       ----      ----      ----      ----       1'1    UNCH                    1'1
4550       ----      ----      ----      ----       1'3     -'1                    1'4
4600       ----      ----      ----      ----       1'6     -'1                    1'7
4650       ----      ----      ----      ----       2'2     -'2                    2'4
4700       ----      ----      ----      ----       2'7     -'2                    3'1
4750       ----      ----      ----      ----       3'5     -'2                    3'7
4800       ----      ----      ----      ----       4'3     -'3                    4'6
4850       ----      ----      ----      ----       5'3     -'3                    5'6
4900       ----      ----      ----      ----       6'4     -'4                    7'0
4950       ----      ----      ----      ----       7'6     -'4                    8'2
5000       ----      ----      ----      ----       9'1     -'4                    9'5
5050       ----      ----      ----      ----      10'5     -'5                   11'2
5100       ----      ----      ----      ----      12'2     -'5                   12'7
5150       ----      ----      ----      ----      14'0     -'5                   14'5
5200       ----      ----      ----      ----      15'7     -'5                   16'4                       1
5250       ----      ----      ----      ----      17'6     -'6                   18'4                       4
5300       ----      ----      ----      ----      19'7     -'6                   20'5                       5
5350       ----      ----      ----      ----      22'0     -'7                   22'7
5400       ----      ----      ----      ----      24'3     -'7                   25'2
5450       ----      ----      ----      ----      26'5    -1'0                   27'5
5500       ----      ----      ----      ----      29'1    -1'1                   30'2                       1
5550       ----      ----      ----      ----      31'6    -1'1                   32'7
5600       ----      ----      ----      ----      34'3    -1'2                   35'5
5650       ----      ----      ----      ----      37'1    -1'3                   38'4
5700       ----      ----      ----      ----      40'0    -1'3                   41'3
5750       ----      ----      ----      ----      42'7    -1'4                   44'3
5800       ----      ----      ----      ----      46'0    -1'4                   47'4
5850       ----      ----      ----      ----      49'1    -1'4                   50'5
5900       ----      ----      ----      ----      52'3    -1'4                   53'7
5950       ----      ----      ----      ----      55'4    -1'5                   57'1
6000       ----      ----      ----      ----      58'7    -1'5                   60'4
6050       ----      ----      ----      ----      62'3    -1'5                   64'0
6100       ----      ----      ----      ----      65'7    -1'6                   67'5
6150       ----      ----      ----      ----      69'3    -1'6                   71'1
6200       ----      ----      ----      ----      73'1    -1'6                   74'7
6250       ----      ----      ----      ----      76'7    -1'7                   78'6
6300       ----      ----      ----      ----      80'6    -1'7                   82'5
6350       ----      ----      ----      ----      84'5    -1'7                   86'4
6400       ----      ----      ----      ----      88'5    -2'0                   90'5
6450       ----      ----      ----      ----      92'6    -2'0                   94'6
6500       ----      ----      ----      ----      96'7    -2'0                   98'7
6550       ----      ----      ----      ----     101'1    -2'0                  103'1
6600       ----      ----      ----      ----     105'2    -2'1                  107'3
6650       ----      ----      ----      ----     109'5    -2'1                  111'6
6700       ----      ----      ----      ----     114'0    -2'1                  116'1
6750       ----      ----      ----      ----     118'3    -2'1                  120'4
6800       ----      ----      ----      ----     122'7    -2'1                  125'0
6850       ----      ----      ----      ----     127'2    -2'1                  129'3
6900       ----      ----      ----      ----     131'6    -2'1                  133'7
6950       ----      ----      ----      ----     136'2    -2'2                  138'4
7000       ----      ----      ----      ----     140'7    -2'2                  143'1
7050       ----      ----      ----      ----     145'4    -2'2                  147'6
7100       ----      ----      ----      ----     150'1    -2'2                  152'3
7150       ----      ----      ----      ----     154'6    -2'2                  157'0
7200       ----      ----      ----      ----     159'2    -2'2                  161'4
7250       ----      ----      ----      ----     163'7    -2'2                  166'1
7300       ----      ----      ----      ----     168'5    -2'2                  170'7
7350       ----      ----      ----      ----     173'3    -2'2                  175'5
7400       ----      ----      ----      ----     178'1    -2'2                  180'3
7450       ----      ----      ----      ----     182'7    -2'2                  185'1
7500       ----      ----      ----      ----     187'5    -2'3                  190'0
