                PRELIMINARY PRICES AS OF 01/08/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
MAY19      ----      ----      ----      ----      ----    UNCH          44      57.31         560       12467
JUN19     57.14     57.31     57.14     57.24B     ----    UNCH        1507      57.05        8332       84834
JLY19      ----      ----      ----      ----      ----    UNCH          27      56.75        1076       12485
AUG19      ----      ----      ----      ----      ----    UNCH          15      56.47         239        7612
SEP19      ----      ----      ----      ----      ----    UNCH           9      56.23        1090       16924
OCT19      ----      ----      ----      ----      ----    UNCH           7      56.01         209        9607
NOV19      ----      ----      ----      ----      ----    UNCH           1      55.82         200       11969
DEC19     55.85     55.94     55.69A    55.87B     ----    UNCH        2657      55.67        9646      107548
JAN20      ----      ----      ----      ----      ----    UNCH                  55.46          36        7075
FEB20      ----      ----      ----      ----      ----    UNCH                  55.25          14        3217
MAR20      ----      ----      ----      ----      ----    UNCH                  55.05          16        6364
APR20      ----      ----      ----      ----      ----    UNCH                  54.84                     564
MAY20      ----      ----      ----      ----      ----    UNCH                  54.63                    1336
JUN20      ----     54.73B     ----     54.73B     ----    UNCH          56      54.46         433       12022
JLY20      ----      ----      ----      ----      ----    UNCH                  54.26          50        1643
AUG20      ----      ----      ----      ----      ----    UNCH                  54.10          20         577
SEP20      ----      ----      ----      ----      ----    UNCH                  53.95           3        2266
OCT20      ----      ----      ----      ----      ----    UNCH                  53.81                     391
NOV20      ----      ----      ----      ----      ----    UNCH                  53.66          58        2599
DEC20     53.68     53.81     53.66A    53.75B     ----    UNCH         208      53.52        1971       40459
JAN21      ----      ----      ----      ----      ----    UNCH                  53.32        2463        3153
FEB21      ----      ----      ----      ----      ----    UNCH                  53.11        2451        3716
MAR21      ----      ----      ----      ----      ----    UNCH                  53.03         237         986
APR21      ----      ----      ----      ----      ----    UNCH                  52.89         165          33
MAY21      ----      ----      ----      ----      ----    UNCH                  52.78         172          34
JUN21      ----      ----      ----      ----      ----    UNCH                  52.74         274         956
JLY21      ----      ----      ----      ----      ----    UNCH                  52.64                       2
AUG21      ----      ----      ----      ----      ----    UNCH                  52.57
SEP21      ----      ----      ----      ----      ----    UNCH                  52.50
OCT21      ----      ----      ----      ----      ----    UNCH                  52.37                       1
NOV21      ----      ----      ----      ----      ----    UNCH                  52.29
DEC21     52.50     52.50     52.49A    52.49A     ----    UNCH          33      52.23         537       11147
JAN22      ----      ----      ----      ----      ----    UNCH                  52.16
FEB22      ----      ----      ----      ----      ----    UNCH                  52.10
MAR22      ----      ----      ----      ----      ----    UNCH                  52.08
APR22      ----      ----      ----      ----      ----    UNCH                  52.05
MAY22      ----      ----      ----      ----      ----    UNCH                  52.03
JUN22      ----      ----      ----      ----      ----    UNCH                  51.99
JLY22      ----      ----      ----      ----      ----    UNCH                  51.89
AUG22      ----      ----      ----      ----      ----    UNCH                  51.89
SEP22      ----      ----      ----      ----      ----    UNCH                  51.96
OCT22      ----      ----      ----      ----      ----    UNCH                  51.90
NOV22      ----      ----      ----      ----      ----    UNCH                  51.87
DEC22      ----      ----      ----      ----      ----    UNCH                  51.83           3        2983
JAN23      ----      ----      ----      ----      ----    UNCH                  51.82
FEB23      ----      ----      ----      ----      ----    UNCH                  51.80
MAR23      ----      ----      ----      ----      ----    UNCH                  51.81
APR23      ----      ----      ----      ----      ----    UNCH                  51.79
MAY23      ----      ----      ----      ----      ----    UNCH                  51.75
JUN23      ----      ----      ----      ----      ----    UNCH                  51.79
JLY23      ----      ----      ----      ----      ----    UNCH                  51.78
AUG23      ----      ----      ----      ----      ----    UNCH                  51.74
SEP23      ----      ----      ----      ----      ----    UNCH                  51.80
OCT23      ----      ----      ----      ----      ----    UNCH                  51.81
NOV23      ----      ----      ----      ----      ----    UNCH                  51.79
DEC23      ----      ----      ----      ----      ----    UNCH                  51.83                     177
JUN24      ----      ----      ----      ----      ----    UNCH                  52.01
DEC24      ----      ----      ----      ----      ----    UNCH                  52.19                      47
JUN25      ----      ----      ----      ----      ----    UNCH                  52.40
DEC25      ----      ----      ----      ----      ----    UNCH                  52.61                      21
JUN26      ----      ----      ----      ----      ----    UNCH                  52.81
DEC26      ----      ----      ----      ----      ----    UNCH                  53.01
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                328360                1089526     2539230
CL1 WTI Crude Oil TAM Singapore Future
FEB18      ----      ----      ----      ----     61.53    -.26                  61.79
MAR18      ----      ----      ----      ----     61.50    -.20                  61.70
APR18      ----      ----      ----      ----     61.39    -.14                  61.53
CL2 WTI Crude Oil TAM LONDON Future
FEB18      ----      ----      ----      ----      ----    UNCH                  61.26
MAR18      ----      ----      ----      ----      ----    UNCH                  61.22
APR18      ----      ----      ----      ----      ----    UNCH                  61.10
CLS CRUDE OIL TAM SINGAPORE FUTURE
FEB18      ----      ----      ----      ----       .00    UNCH                    .00
MAR18      ----      ----      ----      ----       .00    UNCH                    .00
APR18      ----      ----      ----      ----       .00    UNCH                    .00
CQ CRUDE OIL CS2 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .14
MAR18      ----      ----      ----      ----      ----    UNCH                    .26
APR18      ----      ----      ----      ----      ----    UNCH                    .37
MAY18      ----      ----      ----      ----      ----    UNCH                    .53
JUN18      ----      ----      ----      ----      ----    UNCH                    .66
JLY18      ----      ----      ----      ----      ----    UNCH                    .69
AUG18      ----      ----      ----      ----      ----    UNCH                    .69
SEP18      ----      ----      ----      ----      ----    UNCH                    .69
OCT18      ----      ----      ----      ----      ----    UNCH                    .65
NOV18      ----      ----      ----      ----      ----    UNCH                    .63
DEC18      ----      ----      ----      ----      ----    UNCH                    .66
JAN19      ----      ----      ----      ----      ----    UNCH                    .68
CT CRUDE OIL CS3 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .29
MAR18      ----      ----      ----      ----      ----    UNCH                    .48
APR18      ----      ----      ----      ----      ----    UNCH                    .68
MAY18      ----      ----      ----      ----      ----    UNCH                    .88
JUN18      ----      ----      ----      ----      ----    UNCH                   1.00
JLY18      ----      ----      ----      ----      ----    UNCH                   1.04
AUG18      ----      ----      ----      ----      ----    UNCH                   1.03
SEP18      ----      ----      ----      ----      ----    UNCH                   1.00
OCT18      ----      ----      ----      ----      ----    UNCH                    .97
NOV18      ----      ----      ----      ----      ----    UNCH                    .97
