DATE,LIBOR
10/12/2017,1.23889
10/13/2017,1.23667
10/16/2017,1.23666
10/17/2017,1.23777
10/18/2017,1.23888
10/19/2017,1.23888
10/20/2017,1.23788
10/23/2017,1.23788
10/24/2017,1.23955
10/25/2017,1.23999
10/26/2017,1.24166
10/27/2017,1.24233
10/30/2017,1.24214
10/31/2017,1.24333
11/1/2017,1.24333
11/2/2017,1.24212
11/3/2017,1.24322
11/6/2017,1.24424
11/7/2017,1.24389
11/8/2017,1.24606
11/9/2017,1.24494
11/10/2017,1.24606
11/13/2017,1.25028
11/14/2017,1.2635
11/15/2017,1.266
11/16/2017,1.28267
11/17/2017,1.28719
11/20/2017,1.29418
11/21/2017,1.31287
11/22/2017,1.3275
11/23/2017,1.32862
11/24/2017,1.33756
11/27/2017,1.34676
11/28/2017,1.34978
11/29/2017,1.36069
11/30/2017,1.37188
12/1/2017,1.37938
12/4/2017,1.39181
12/5/2017,1.40319
12/6/2017,1.40688
12/7/2017,1.43185
12/8/2017,1.44438
12/11/2017,1.45951
12/12/2017,1.47195
12/13/2017,1.47703
12/14/2017,1.49078
12/15/2017,1.495
12/18/2017,1.50113
12/19/2017,1.51113
12/20/2017,1.53488
12/21/2017,1.55213
12/22/2017,1.56375
12/25/2017,1.56375
12/26/2017,1.56375
12/27/2017,1.569
12/28/2017,1.56775
12/29/2017,1.56425
1/1/2018,1.56425
1/2/2018,1.56175
1/3/2018,1.55688
1/4/2018,1.555
1/5/2018,1.5525
1/8/2018,1.55375
1/9/2018,1.55375
1/10/2018,1.55375
1/11/2018,1.55945
1/12/2018,1.55947
1/15/2018,1.55614
1/16/2018,1.55613
1/17/2018,1.5575
1/18/2018,1.56118
1/19/2018,1.56128
1/22/2018,1.56014
1/23/2018,1.56135
1/24/2018,1.56137
1/25/2018,1.56693
1/26/2018,1.56777
1/29/2018,1.57345
1/30/2018,1.5747
1/31/2018,1.5797
2/1/2018,1.57946
2/2/2018,1.57957
2/5/2018,1.58007
2/6/2018,1.57926
2/7/2018,1.57932
2/8/2018,1.58077
2/9/2018,1.5832
2/12/2018,1.5875
2/13/2018,1.5875
2/14/2018,1.58813
2/15/2018,1.59
2/16/2018,1.59375
2/19/2018,1.59563
2/20/2018,1.59563
2/21/2018,1.60251
2/22/2018,1.6207
2/23/2018,1.6312
2/26/2018,1.648
2/27/2018,1.66418
2/28/2018,1.67007
3/1/2018,1.6862
3/2/2018,1.6905
3/5/2018,1.7017
3/6/2018,1.71131
3/7/2018,1.71794
3/8/2018,1.73957
3/9/2018,1.75032
3/12/2018,1.76495
3/13/2018,1.7766
3/14/2018,1.78638
3/15/2018,1.8082
3/16/2018,1.82207
3/19/2018,1.84067
3/20/2018,1.85382
3/21/2018,1.86125
3/22/2018,1.8715
3/23/2018,1.875
3/26/2018,1.87688
3/27/2018,1.87688
3/28/2018,1.88688
3/29/2018,1.88313
3/30/2018,1.88313
4/2/2018,1.88313
4/3/2018,1.8775
4/4/2018,1.89063
4/5/2018,1.89519
4/6/2018,1.89713
4/9/2018,1.89713
4/10/2018,1.89438
4/11/2018,1.89563
4/12/2018,1.89688
4/13/2018,1.8955
4/16/2018,1.89426
4/17/2018,1.89563
4/18/2018,1.89707
4/19/2018,1.89826
4/20/2018,1.89695
4/23/2018,1.89711
4/24/2018,1.89826
4/25/2018,1.89988
4/26/2018,1.90076
4/27/2018,1.90701
4/30/2018,1.90932
5/1/2018,1.90875
5/2/2018,1.91713
5/3/2018,1.9227
5/4/2018,1.9277
5/7/2018,1.9277
5/8/2018,1.92851
5/9/2018,1.92851
5/10/2018,1.91839
5/11/2018,1.91871
5/14/2018,1.93375
5/15/2018,1.93875
5/16/2018,1.935
5/17/2018,1.94775
5/18/2018,1.95275
5/21/2018,1.96125
5/22/2018,1.96538
5/23/2018,1.95969
5/24/2018,1.96827
5/25/2018,1.97563
5/28/2018,1.97563
5/29/2018,1.98031
5/30/2018,1.98246
5/31/2018,2.0007
6/1/2018,2.00468
6/4/2018,2.01297
6/5/2018,2.02454
6/6/2018,2.02961
6/7/2018,2.04638
6/8/2018,2.04617
6/11/2018,2.04738
6/12/2018,2.05725
6/13/2018,2.07325
6/14/2018,2.08506
6/15/2018,2.08494
6/18/2018,2.08375
6/19/2018,2.08788
6/20/2018,2.08363
6/21/2018,2.09113
6/22/2018,2.09775
6/25/2018,2.10288
6/26/2018,2.10188
6/27/2018,2.0935
6/28/2018,2.09213
6/29/2018,2.09025
7/2/2018,2.09994
7/3/2018,2.08588
7/4/2018,2.08725
7/5/2018,2.09713
7/6/2018,2.08625
7/9/2018,2.0775
7/10/2018,2.0665
7/11/2018,2.07425
7/12/2018,2.07163
7/13/2018,2.07325
7/16/2018,2.0785
7/17/2018,2.08175
7/18/2018,2.08625
7/19/2018,2.081
7/20/2018,2.069
7/23/2018,2.06363
7/24/2018,2.07013
7/25/2018,2.07688
7/26/2018,2.07163
