W Wheat Futures
DEC16     420'4     422'2     413'0     420'2     420'2     +'2       59981      420'0       60252      284442
MAR17     440'2     442'4     433'0     441'4     440'6     +'6       22713      440'0       22212      104419
MAY17     453'6     456'0     447'2     455'4     455'2    +1'2        5264      454'0        5751       25619
JLY17     465'4     467'2     458'4     466'2     467'0    +1'4        3391      465'4        3939       44814
SEP17     479'6     481'4B    473'4A    481'0     481'0    +1'2         971      479'6         867        5512
DEC17     496'4     498'4     490'6     497'4     497'4    +1'0         761      496'4         868        9461
MAR18      ----      ----     506'6A    509'4B    510'4     +'4          13      510'0          16        2214
3950       ----      26'2B     19'3A     ----      25'3     +'1                   25'2                     270
4000       14'0      22'1B     14'0      ----      20'4    UNCH          42       20'4                    1226
4050       12'0      16'4B     10'4A     ----      15'5     -'2          24       15'7           1         668
4100        9'0      12'0B      6'7A     ----      11'2     -'3         101       11'5           4        2432
4150        5'2       8'3B      4'0      ----       7'4     -'5         587        8'1          36        1459
4200        4'0       5'5B      2'1A     ----       4'5     -'5         688        5'2         729        3898
4250        1'3       3'4       1'1A     ----       2'4     -'5         540        3'1         317        2267
4300         '6       1'7        '5A     ----       1'2     -'4         409        1'6         425        2557
4350         '3       1'0        '3      ----        '5     -'3         477        1'0         126         967
4400         '2        '4        '1      ----        '3     -'2          39         '5         561        2422
4450         '1        '2B       '1      ----        '2     -'1         125         '3          62         988
4500       ----      ----        '1A     ----        '1     -'1           3         '2          19        1429
4550       ----      ----        '1A     ----        '1     -'1                     '2          90         543
4600       ----      ----      ----      ----        '1    UNCH           3         '1           1         721
4650       ----      ----      ----      ----        '1    UNCH                     '1                     216
4700       ----      ----      ----      ----        '1    UNCH                     '1                     226
4750       ----      ----      ----      ----        '1    UNCH                     '1                     177
4800       ----      ----      ----      ----        '1    UNCH                     '1                     561
4850       ----      ----      ----      ----        '1    UNCH                     '1                      17
4900       ----      ----      ----      ----        '1    UNCH                     '1                     275
4950       ----      ----      ----      ----        '1    UNCH                     '1                      32
5000       ----      ----      ----      ----        '1    UNCH                     '1                     981
5050       ----      ----      ----      ----        '1    UNCH                     '1                      55
5100       ----      ----      ----      ----        '1    UNCH                     '1                      45
5150       ----      ----      ----      ----        '1    UNCH                     '1                      24
5200       ----      ----      ----      ----        '1    UNCH                     '1                      35
5250       ----      ----      ----      ----        '1    UNCH                     '1                      38
5300       ----      ----      ----      ----        '1    UNCH                     '1                       7
5350       ----      ----      ----      ----        '1    UNCH                     '1
5400       ----      ----      ----      ----        '1    UNCH                     '1                     113
5450       ----      ----      ----      ----        '1    UNCH                     '1                      11
5500       ----      ----      ----      ----        '1    UNCH                     '1                      37
5550       ----      ----      ----      ----        '1    UNCH                     '1
5600       ----      ----      ----      ----        '1    UNCH                     '1
5650       ----      ----      ----      ----        '1    UNCH                     '1                      64
WZ DEC16 Wheat Options CALL
2000       ----     220'7B    217'7A     ----     220'2     +'2                  220'0
2100       ----      ----      ----      ----     210'2     +'2                  210'0
2200       ----      ----      ----      ----     200'2     +'2                  200'0
2300       ----     191'0B    184'4A     ----     190'2     +'2                  190'0
2400       ----     181'0B    174'4A     ----     180'2     +'2                  180'0
2500       ----     171'0B    164'4A     ----     170'2     +'2                  170'0
2600       ----     161'0B    154'4A     ----     160'2     +'2                  160'0
2700       ----     151'0B    144'4A     ----     150'2     +'2                  150'0
2800       ----     141'0B    134'4A     ----     140'2     +'2                  140'0
2900       ----     131'0B    124'4A     ----     130'3     +'3                  130'0
2950       ----     126'0B    119'4A     ----     125'3     +'2                  125'1
3000       ----     121'0B    114'4A     ----     120'3     +'2                  120'1
3050       ----     116'0B    109'4A     ----     115'3     +'2                  115'1
3100       ----     111'0B    104'4A     ----     110'3     +'2                  110'1
3150       ----     106'0B     99'4A     ----     105'3     +'2                  105'1
3200       ----     101'0B     94'4A     ----     100'3     +'2                  100'1
3250       ----      96'0B     89'4A     ----      95'3     +'2                   95'1
3300       ----      91'0B     84'4A     ----      90'3     +'2                   90'1
3350       ----      86'0B     79'4A     ----      85'3     +'2                   85'1
3400       ----      81'0B     74'5A     ----      80'3     +'2                   80'1
3450       ----      76'0B     69'5A     ----      75'3     +'2                   75'1
3500       ----      71'0B     64'5A     ----      70'3     +'1                   70'2
3550       ----      66'1B     59'6A     ----      65'3     +'1                   65'2
3600       ----      61'1B     54'7A     ----      60'4     +'1                   60'3
3650       ----      56'2B     50'0A     ----      55'5     +'1                   55'4                       1
3700       ----      51'3B     45'2A     ----      50'6     +'1                   50'5                      80
3750       ----      46'5B     40'5A     ----      46'0     +'1                   45'7                      20
3800       ----      41'7B     36'2A     ----      41'3     +'1                   41'2                     142
3850       ----      37'3B     31'7A     ----      36'7     +'1                   36'6                       9
3900       ----      32'7B     27'3A     ----      32'4    UNCH                   32'4                     363
3950       26'5      29'3B     23'5A     ----      28'3     -'1           2       28'4           3         385
4000       21'3      25'4B     20'2A     21'6      24'4     -'2         326       24'6          41        3189
4050       16'4      22'0      16'4      ----      21'0     -'3         101       21'3          54        1087
4100       16'6      19'0      14'5A     ----      17'7     -'4         196       18'3         288       11846
4150       14'1      16'2B     12'3A     ----      15'1     -'4         584       15'5         317        1800
