                PRELIMINARY PRICES AS OF 01/22/19 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV19     55.37     55.76     54.70     54.73      ----    UNCH        3728      55.51        9503       48802
DEC19     55.00     55.89     54.49     54.76B     ----    UNCH       19542      55.45       59111      183597
JAN20     55.16     55.83B    54.54A    54.59      ----    UNCH        2966      55.37        7353       38722
FEB20      ----      ----     54.55A    54.55A     ----    UNCH        1477      55.30        1165       21160
MAR20      ----      ----     54.94A    54.94A     ----    UNCH        2419      55.24        7855       32039
APR20      ----      ----     54.87A    54.87A     ----    UNCH         431      55.17        3313        8569
MAY20      ----      ----     54.86A    54.86A     ----    UNCH         866      55.11        1573        8462
JUN20     54.90     55.27B    54.24A    54.45B     ----    UNCH        3300      55.04       13767       56444
JLY20      ----      ----     54.73A    54.73A     ----    UNCH          26      54.93         539        7349
AUG20      ----      ----      ----      ----      ----    UNCH           2      54.84         214        7439
SEP20      ----      ----     54.55A    54.55A     ----    UNCH         111      54.77         921       15920
OCT20      ----      ----     54.51A    54.51A     ----    UNCH                  54.70         102        7857
NOV20      ----      ----     54.48A    54.48A     ----    UNCH                  54.65         270        7309
DEC20     54.13     55.03B    53.96A    54.25B     ----    UNCH        4834      54.62       21561      100038
JAN21      ----      ----     54.47A    54.47A     ----    UNCH                  54.52         261        7157
FEB21      ----      ----      ----      ----      ----    UNCH                  54.40         112        2647
MAR21      ----      ----      ----      ----      ----    UNCH                  54.31          97        3572
APR21      ----      ----      ----      ----      ----    UNCH                  54.21           8        4529
MAY21      ----      ----      ----      ----      ----    UNCH                  54.15           5        2298
JUN21     53.83     54.03B    53.70     53.85B     ----    UNCH         172      54.10        2555       15926
JLY21      ----      ----      ----      ----      ----    UNCH                  54.02                    4314
AUG21      ----      ----      ----      ----      ----    UNCH                  53.99                    2116
SEP21      ----      ----      ----      ----      ----    UNCH                  53.95                    2370
OCT21      ----      ----      ----      ----      ----    UNCH                  53.89         250        2737
NOV21      ----      ----      ----      ----      ----    UNCH                  53.86         250        1614
DEC21     54.00     54.20B    53.42A    53.76A     ----    UNCH         830      53.82        3069       23379
JAN22      ----      ----      ----      ----      ----    UNCH                  53.73           4         582
FEB22      ----      ----      ----      ----      ----    UNCH                  53.69           2        4290
MAR22      ----      ----      ----      ----      ----    UNCH                  53.62                     450
APR22      ----      ----      ----      ----      ----    UNCH                  53.57
MAY22      ----      ----      ----      ----      ----    UNCH                  53.49
JUN22      ----      ----      ----      ----      ----    UNCH                  53.49           9        1679
JLY22      ----      ----      ----      ----      ----    UNCH                  53.44
AUG22      ----      ----      ----      ----      ----    UNCH                  53.43
SEP22      ----      ----      ----      ----      ----    UNCH                  53.42
OCT22      ----      ----      ----      ----      ----    UNCH                  53.42
NOV22      ----      ----      ----      ----      ----    UNCH                  53.40
DEC22     53.51     53.79B    53.14A    53.52B     ----    UNCH         212      53.39         216       11009
JAN23      ----      ----      ----      ----      ----    UNCH                  53.35
FEB23      ----      ----      ----      ----      ----    UNCH                  53.32
MAR23      ----      ----      ----      ----      ----    UNCH                  53.30
APR23      ----      ----      ----      ----      ----    UNCH                  53.29
MAY23      ----      ----      ----      ----      ----    UNCH                  53.27
JUN23      ----      ----      ----      ----      ----    UNCH                  53.27                      21
JLY23      ----      ----      ----      ----      ----    UNCH                  53.25
AUG23      ----      ----      ----      ----      ----    UNCH                  53.25
SEP23      ----      ----      ----      ----      ----    UNCH                  53.24
OCT23      ----      ----      ----      ----      ----    UNCH                  53.26
NOV23      ----      ----      ----      ----      ----    UNCH                  53.25
DEC23      ----      ----      ----      ----      ----    UNCH          84      53.27          17        1918
JAN24      ----      ----      ----      ----      ----    UNCH                  53.27
FEB24      ----      ----      ----      ----      ----    UNCH                  53.26
MAR24      ----      ----      ----      ----      ----    UNCH                  53.19
APR24      ----      ----      ----      ----      ----    UNCH                  53.18
MAY24      ----      ----      ----      ----      ----    UNCH                  53.19
JUN24      ----      ----      ----      ----      ----    UNCH                  53.21                       6
JLY24      ----      ----      ----      ----      ----    UNCH                  53.22
AUG24      ----      ----      ----      ----      ----    UNCH                  53.21
SEP24      ----      ----      ----      ----      ----    UNCH                  53.19
OCT24      ----      ----      ----      ----      ----    UNCH                  53.19
NOV24      ----      ----      ----      ----      ----    UNCH                  53.23
DEC24      ----      ----      ----      ----      ----    UNCH                  53.27                    2250
JAN25      ----      ----      ----      ----      ----    UNCH                  53.20
FEB25      ----      ----      ----      ----      ----    UNCH                  53.20
MAR25      ----      ----      ----      ----      ----    UNCH                  53.20
APR25      ----      ----      ----      ----      ----    UNCH                  53.22
MAY25      ----      ----      ----      ----      ----    UNCH                  53.20
JUN25      ----      ----      ----      ----      ----    UNCH                  53.18
JLY25      ----      ----      ----      ----      ----    UNCH                  53.22
AUG25      ----      ----      ----      ----      ----    UNCH                  53.22
