W Wheat Futures
DEC16     404'0     414'0     402'6     411'2     411'4    +7'2       69000      404'2       61130      292474
MAR17     426'4     434'4     424'4     431'6     432'0    +5'2       26930      426'6       25073      108979
MAY17     441'4     449'4     440'0     447'0     447'2    +4'4        6174      442'6        6520       28323
JLY17     454'6     462'4     452'6     460'4B    460'4    +4'6        8597      455'6        7190       47346
SEP17     471'0     476'2B    469'0A    476'0     476'0    +5'2        1249      470'6        1982        6855
DEC17     487'0     494'0B    485'2     493'0     493'2    +5'6         798      487'4         801       10717
MAR18     507'2     507'6     507'2     507'6     506'6    +5'6          21      501'0          62        2306
MAY18      ----      ----      ----      ----     511'4    +5'6                  505'6                      30
4550        1'6       1'7B      1'1A     ----       1'5     +'3          36        1'2          72         556
4600        1'3       1'4       1'3      ----       1'2     +'2         400        1'0         513        3952
4650         '7       1'2B       '7      ----       1'0     +'1          17         '7          18         746
4700         '6       1'0        '6      ----        '7     +'1         222         '6           9        3644
4750         '7        '7        '6A     ----        '6     +'1           6         '5           1         250
4800       ----        '6B     ----      ----        '5     +'1                     '4          10        3621
4850         '5        '5        '5      ----        '5     +'1           1         '4          44         189
4900         '4        '4        '4      ----        '4     +'1          46         '3          79        1757
4950       ----        '4B     ----      ----        '4     +'1                     '3           3         174
5000       ----      ----      ----      ----        '4     +'1                     '3           9        5952
5050       ----        '3B     ----      ----        '3     +'1                     '2          13         329
5100       ----      ----      ----      ----        '3     +'1                     '2                    1712
5150       ----      ----      ----      ----        '3     +'1                     '2         338         341
5200       ----      ----      ----      ----        '2    UNCH                     '2                    2998
5250       ----        '2B     ----      ----        '2     +'1                     '1                       6
5300       ----        '2B     ----      ----        '2     +'1                     '1                    2418
5400       ----      ----      ----      ----        '2     +'1                     '1                    1538
5500       ----      ----      ----      ----        '1    UNCH                     '1          67        4467
5600         '1        '1        '1      ----        '1    UNCH           5         '1                     867
5700       ----      ----      ----      ----        '1    UNCH                     '1                     709
5800       ----      ----      ----      ----        '1    UNCH                     '1                    2352
5900       ----      ----      ----      ----        '1    UNCH                     '1                     631
6000       ----      ----      ----      ----        '1    UNCH                     '1                    3174
6100       ----      ----      ----      ----        '1    UNCH                     '1                     244
6200       ----      ----      ----      ----        '1    UNCH                     '1                    2613
6300       ----      ----      ----      ----        '1    UNCH                     '1                     131
6400       ----      ----      ----      ----        '1    UNCH                     '1                     222
6500       ----      ----      ----      ----        '1    UNCH                     '1                    1838
6600       ----      ----      ----      ----        '1    UNCH                     '1                     114
6700       ----      ----      ----      ----        '1    UNCH                     '1                     101
6800       ----      ----      ----      ----        '1    UNCH                     '1                     601
6900       ----      ----      ----      ----        '1    UNCH                     '1                      97
7000       ----      ----      ----      ----        '1    UNCH                     '1                    1861
7100       ----      ----      ----      ----        '1    UNCH                     '1                     109
