W Wheat Futures
DEC16     403'0     410'0     400'2     407'0     408'0    +5'0       51687      403'0       60284      136793
MAR17     419'4     427'4     416'6     424'2     425'2    +5'2       46657      420'0       55704      236385
MAY17     433'0     440'2     430'2     438'4     439'0    +5'6       11987      433'2       11508       49188
JLY17     447'4     454'4     444'6     452'6B    453'6    +5'4        5864      448'2        5781       58817
SEP17     462'0     469'0     460'4     467'6     468'4    +4'4         879      464'0         629       10507
DEC17     482'0     488'2     480'0     486'4     487'2    +3'2        1909      484'0         939       18657
MAR18     497'6     497'6     495'6A    497'2     498'4    +2'2          73      496'2          31        3165
MAY18     505'4     506'4     505'4     506'4     506'2    +2'4          36      503'6                     236
JLY18     512'4     512'4     512'4     512'4     510'2    +4'6           2      505'4                     197
SEP18     525'0     527'0     525'0     527'0     524'2    +5'2           2      519'0                     169
DEC18     543'4     543'4     543'4     543'4     543'0    +2'2           5      540'6           5         118
MAR19      ----     556'0B     ----     556'0B    550'4    +9'6                  540'6
3750       ----      33'3B     26'6A     ----      33'1    +5'0                   28'1                      20
3800       ----      28'4B     21'7A     ----      28'1    +4'7                   23'2                     137
3850       ----      23'5B     17'1A     ----      23'2    +4'7                   18'3           1          29
3900       15'2      19'0      12'6A     ----      18'3    +4'4          51       13'7          35         426
3950       11'0      15'1B      8'7A     ----      13'6    +3'6          44       10'0         114         719
4000        6'1      11'3       6'0       9'6B      9'6    +2'7        1737        6'7        1359        6520
4050        4'3       8'1B      3'6A     ----       6'6    +2'1         345        4'5         860        1930
4100        2'7       6'0       2'3       4'6       4'6    +1'5        3219        3'1        3224       16445
4150        1'4       4'1       1'4      ----       3'1    +1'1        2015        2'0         656        3454
4200        1'1       2'6       1'0A     ----       2'0     +'6        2927        1'2        3421       11126
4250         '7       1'5B       '5A     ----       1'2     +'4        1860         '6        1127        4317
4300         '3       1'1        '3      ----        '6     +'2         774         '4         117        6952
4350         '4        '5B       '3      ----        '4     +'1         361         '3           1        4033
4400         '2        '3        '1        '2        '3     +'1         321         '2         323        6602
4450         '2        '2        '1      ----        '2    UNCH          92         '2          14        3900
4500         '1        '1        '1      ----        '1    UNCH          22         '1         166        6690
4550         '1        '1        '1      ----        '1    UNCH          25         '1          10         591
4600       ----      ----      ----      ----        '1    UNCH                     '1                    3858
4650       ----      ----      ----      ----        '1    UNCH           1         '1                     974
4700         '1        '1        '1      ----        '1    UNCH           7         '1                    3349
4750       ----      ----      ----      ----        '1    UNCH                     '1                     432
4800         '1        '1        '1      ----        '1    UNCH           3         '1                    3596
4850       ----      ----      ----      ----        '1    UNCH                     '1                     227
4900       ----      ----      ----      ----        '1    UNCH                     '1                    1807
4950       ----      ----      ----      ----        '1    UNCH                     '1                     201
5000       ----      ----      ----      ----        '1    UNCH                     '1                    5845
5050       ----      ----      ----      ----        '1    UNCH                     '1          35         299
5100       ----      ----      ----      ----        '1    UNCH                     '1                    1837
5150       ----      ----      ----      ----        '1    UNCH                     '1                     361
5200       ----      ----      ----      ----        '1    UNCH                     '1                    2996
5250       ----      ----      ----      ----        '1    UNCH                     '1                       6
5300       ----      ----      ----      ----        '1    UNCH                     '1                    2419
5400       ----      ----      ----      ----        '1    UNCH                     '1                    1536
5500       ----      ----      ----      ----        '1    UNCH                     '1                    4322
5600       ----      ----      ----      ----        '1    UNCH                     '1                     867
5700       ----      ----      ----      ----        '1    UNCH                     '1                     740
5800       ----      ----      ----      ----        '1    UNCH                     '1                    2352
5900       ----      ----      ----      ----        '1    UNCH                     '1                     631
6000       ----      ----      ----      ----        '1    UNCH                     '1                    3174
6100       ----      ----      ----      ----        '1    UNCH                     '1                     244
