date,S_up_gamma,S_up_gamma_5,S_down_gamma,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2017-07-24,35458.904880659706,43367.8972284814,22627.73248157394,36588.93591285486,7908.992347821695,13961.20343128092
2017-07-26,31363.956376966213,41670.51391142684,23802.068729629133,37429.23380400866,10306.557534460626,13627.165074379529
2017-07-28,33975.119398106144,44830.9867359501,22516.547685451435,38328.77511923823,10855.867337843956,15812.227433786793
2017-07-31,36402.23547491317,48135.394309940995,23822.642496270277,39982.87196452275,11733.158835027825,16160.22946825247
2017-08-01,33503.639866369325,46433.47062735223,23325.61397092598,40081.02142933564,12929.830760982906,16755.40745840966
2017-08-02,32726.6014880215,46747.00818894549,22424.147245716333,35017.26986250298,14020.406700923988,12593.122616786648
2017-08-03,28845.918730368776,42721.17262617673,20810.239204793503,35278.559188952015,13875.253895807957,14468.319984158512
2017-08-04,29724.459303269694,46159.249629217236,19644.53360708324,31571.88391274165,16434.790325947542,11927.350305658409
2017-08-07,29219.95339685765,46048.88134576017,18041.124030430597,29991.380699107034,16828.92794890252,11950.256668676437
2017-08-08,32838.46331591265,47767.29435979606,19022.425067452106,32341.208914924675,14928.831043883409,13318.783847472569
2017-08-09,32848.17849925363,48253.9429888061,20768.880644263787,34826.86290174473,15405.764489552472,14057.982257480944
2017-08-10,34129.89363475398,50029.718506114754,21637.983000959037,36543.09164623407,15899.824871360775,14905.108645275031
2017-08-11,26282.48676919785,47665.952912159206,16446.37171983057,26300.944119488126,21383.466142961355,9854.572399657554
2017-08-18,26786.1166058804,46476.02597740219,19897.095716971246,31813.188614239174,19689.90937152179,11916.092897267928
2017-08-21,24576.149585615993,43431.907281031694,20369.36499118469,35198.60736296381,18855.7576954157,14829.24237177912
2017-08-22,27159.45603557648,47276.78426192353,20016.370847696297,33942.13267535427,20117.32822634705,13925.76182765797
2017-08-23,24672.056693327664,45938.39357357495,20098.024288309298,35145.51573815114,21266.336880247283,15047.49144984184
2017-08-24,23590.59409377023,41421.29699941094,18786.70369840011,32789.901605291205,17830.70290564071,14003.197906891095
2017-08-25,24200.096309925855,40491.17321988116,22481.28588049735,37025.97571429571,16291.076909955304,14544.689833798358
2017-08-28,24136.476846981583,38513.41700747505,21650.0863552648,36225.57410944048,14376.940160493468,14575.48775417568
2017-08-30,22489.44768048356,38506.07003254677,19354.897855261443,33188.73961358393,16016.622352063208,13833.841758322487
2017-08-31,22292.141564063135,39661.8905022837,18881.407245071503,32179.693055360163,17369.748938220564,13298.28581028866
