date,W_up_gamma,W_up_gamma_5,W_down_gamma,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2018-02-15,10322.563757276974,15054.259431221726,8259.320374652145,15539.024847851064,4731.695673944752,7279.704473198919
2018-02-27,14507.783050420663,17245.814708550435,9212.135782085388,13637.632406699777,2738.031658129772,4425.496624614389
2018-02-28,13491.850384969228,16495.268051,9527.534779229025,14627.405153356985,3003.417666030771,5099.8703741279605
2018-03-01,13605.476391077253,15791.673023400188,12317.85028302451,19239.33650243531,2186.1966323229353,6921.486219410801
2018-03-02,10947.77974411506,12427.76258606663,10446.59634493895,17748.453401444633,1479.9828419515707,7301.857056505683
2018-03-05,13845.241917608928,16554.03577521764,12915.612587195626,20053.94173745598,2708.793857608711,7138.329150260355
2018-03-09,14010.907793462919,18374.304240961515,11069.169311062604,18984.60865725926,4363.396447498597,7915.439346196657
2018-03-13,15177.495185448843,20293.411480256287,10205.405688853243,16714.402732457915,5115.9162948074445,6508.9970436046715
2018-03-14,16730.355361116563,22743.847444396888,9376.701070721601,15012.007802496822,6013.4920832803255,5635.306731775221
2018-03-19,17119.862579961624,24924.912887861286,8067.449492588687,12987.32978151948,7805.050307899663,4919.8802889307935
2018-03-21,13123.617135185517,21106.35454453422,5286.358864329663,8058.45053952833,7982.737409348703,2772.091675198667
2018-03-22,12576.201226092177,19476.961488208057,5701.5657846517115,8444.88783260994,6900.76026211588,2743.3220479582287
2018-03-27,12995.992587743778,18156.425119074476,6437.889427781036,9506.694311222902,5160.432531330698,3068.804883441866
