,0,ret_5
2019-01-01 17:12:00-06:00,"b'\\u201cKim Jong Un says North Korea will not make or test nuclear weapons, or give them to others - &amp; he is ready to meet\\u2026 https://t.co/skE5eJpEtE'",-0.0021775710185093534
2019-08-28 09:37:00-05:00,"b'Our Federal Reserve cannot \\u201cmentally\\u201d keep up with the competition - other countries. At the G-7 in France, all of\\u2026 https://t.co/gLVGOhy4gM'",-0.002173913043478261
2018-10-08 08:37:00-05:00,b'Christopher Columbus\\u2019s spirit of determination &amp; adventure has provided inspiration to generations of Americans. On\\u2026 https://t.co/tIXXwhxDci',-0.002158708228995769
2018-05-07 08:30:00-05:00,"b'Lisa Page, who may hold the record for the most Emails in the shortest period of time (to her Lover, Peter S), and\\u2026 https://t.co/J2IoD9Im6W'",-0.0021337786436589666
2018-02-06 07:38:00-06:00,"b'My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts'",-0.002105867713219106
2018-03-07 09:11:00-06:00,b'China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Defici\\u2026 https://t.co/D2TzeyTmqX',-0.0020989231611607956
2019-05-17 14:42:00-05:00,"b'Today, it was my great honor to address the the National Association of REALTORS! https://t.co/LQNExa57ne'",-0.00209351011863224
2019-03-08 14:46:00-06:00,"b'Aluminum prices are down 12% since I instituted Tariffs on Aluminum Dumping - and the U.S. will be taking in Billions, plus jobs. Nice!'",-0.0020920502092050207
2019-08-26 04:26:00-05:00,b'The story by Axios that President Trump wanted to blow up large hurricanes with nuclear weapons prior to reaching s\\u2026 https://t.co/HzEAczrvf3',-0.0020836950859524223
2018-04-24 13:42:00-05:00,b'\\u201cPresident Trump Calls the U.S.-France Relationship \\u2018Unbreakable.\\u2019 History Shows He\\u2019s Right.\\u201d https://t.co/L0gT4rvaJO',-0.00208018154311649
2018-06-19 12:36:00-05:00,b'THANK YOU @NFIB! #NFIB75 https://t.co/5ppZhQhZu0',-0.0020715122039088535
2019-01-18 08:09:00-06:00,b'\\u201cIt\\u2019s the Democrats keeping everything closed.\\u201d @JimInhofe  So true!',-0.0020678635210076134
2018-10-29 19:40:00-05:00,b'So Revealing! https://t.co/wR0Z4694ei',-0.002065533752699277
2019-09-03 19:54:00-05:00,b'The truth is that we have a nation that is disgusted with the FBI. We have a crisis of confidence in the number one\\u2026 https://t.co/zvA0mfegRP',-0.0020632737276478678
2019-05-30 11:31:00-05:00,b'Just arrived in Colorado. Getting ready to deliver the commencement speech at the Air Force Academy graduation. Ver\\u2026 https://t.co/SDqXbDfSj4',-0.0020592711970633002
2019-03-12 07:30:00-05:00,"b'Patrick Moore, co-founder of Greenpeace: \\u201cThe whole climate crisis is not only Fake News, it\\u2019s Fake Science. There\\u2026 https://t.co/bFSnDQNsD7'",-0.0020570610857705033
2019-01-31 08:53:00-06:00,"b'More troops being sent to the Southern Border to stop the attempted Invasion of Illegals, through large Caravans, i\\u2026 https://t.co/IouO71eEQ4'",-0.002042142393019586
2019-08-26 00:57:00-05:00,b'.@SteveHiltonx \\u201cThe Democrats statements about Donald Trump are lies. Here are the Facts.\\u201d I will soon be posting t\\u2026 https://t.co/Iu2r5UBODi',-0.0020287554026638442
2019-03-18 08:39:00-05:00,b'The Fake News Media is working overtime to blame me for the horrible attack in New Zealand. They will have to work\\u2026 https://t.co/Z9wFNCqFYf',-0.002026074700493305
2019-08-15 10:27:00-05:00,"b'The United States is now, by far, the Biggest, Strongest and Most Powerful Economy in the World, it is not even clo\\u2026 https://t.co/4yaZquNZRw'",-0.002021622571855498
2019-09-05 08:40:00-05:00,"b'Alabama was going to be hit or grazed, and then Hurricane Dorian took a different path (up along the East Coast). T\\u2026 https://t.co/p7jFHFVuLI'",-0.0020198619760983
2018-10-23 11:30:00-05:00,b'#JobsNotMobs https://t.co/0pWiwCHGbh https://t.co/DsJ82fArcq',-0.002012440541529455
2019-05-08 07:49:00-05:00,"b'The reason for the China pullback &amp; attempted renegotiation of the Trade Deal is the sincere HOPE that they will be\\u2026 https://t.co/DmsxVMNu4s'b'....Guess what, that\\u2019s not going to happen! China has just informed us that they (Vice-Premier) are now coming to t\\u2026 https://t.co/tM1dAKGicS'",-0.0019979152189020153
2019-05-08 09:39:00-05:00,"b'\\u201cEveryone wants to know who needs to be accountable, because it took up two years of our lives talking about this R\\u2026 https://t.co/lbAo0GB7B5'",-0.0019935858542082
2018-03-23 05:08:00-05:00,b'House Intelligence Committee votes to release final report. FINDINGS: (1) No evidence provided of Collusion between\\u2026 https://t.co/TDzrvtLstr',-0.0019822541060977913
2017-01-03 09:04:00-06:00,"b'With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it'",-0.0019769357495881385
2017-01-04 08:27:00-06:00,b'massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!',-0.001973467821510799
2018-10-16 10:05:00-05:00,b'\\u201cFederal Judge throws out Stormy Danials lawsuit versus Trump. Trump is entitled to full legal fees.\\u201d @FoxNews Grea\\u2026 https://t.co/PkrqjqPf6y',-0.0019635844341306676
